FECHA;PRECTOTCORR;ALLSKY_SFC_SW_DWN
20060114;0;19,68
20060115;0;19,11
20060116;0,14;20,6
20060117;3,19;20,56
20060118;0,44;20,6
20060119;1,3;14,19
20060120;0,49;21,18
20060121;0,07;20,37
20060122;0,12;19,97
20060123;0,38;20,02
20060124;0,39;20,14
20060125;0,01;20,1
20060126;0,02;19,1
20060127;0,15;15,53
20060128;0,04;11,87
20060129;3,94;16,77
20060130;0,35;21,75
20060131;0,05;22,84
20060201;0,04;19,67
20060202;0,07;15,53
20060203;0,15;16,17
20060204;0,03;16,36
20060205;0,02;22,7
20060206;1,12;23,93
20060207;0,32;22,33
20060208;0;22,88
20060209;0;23,6
20060210;0;22,47
20060211;0;22,1
20060212;0;22,78
20060213;0,04;23
20060214;0,04;24,41
20060215;1,04;21,02
20060216;0,18;22,19
20060217;0,1;21,47
20060218;0,06;23,31
20060219;1,07;24,83
20060220;0,64;24,7
20060221;1;20,05
20060222;0,08;20,63
20060223;0,02;23,02
20060224;0,31;24,3
20060225;1,01;24,19
20060226;0,05;22,82
20060227;5,82;20,68
20060228;0,25;20,02
20060301;0,02;19,31
20060302;0;23,2
20060303;0;22,45
20060304;0,14;21,36
20060305;0,12;17,61
20060306;0,18;11,25
20060307;0,66;12,7
20060308;0,84;10,92
20060309;0,56;14,75
20060310;0,12;17,67
20060311;0,36;23,82
20060312;0,42;22,72
20060313;0,16;25,7
20060314;0,19;24,87
20060315;0,15;20,56
20060316;4,81;17
20060317;0,44;18,49
20060318;0,25;22,59
20060319;0,14;20,88
20060320;0;20,39
20060321;0,56;18,24
20060322;4,39;15,27
20060323;10,14;11,16
20060324;17,31;14,73
20060325;16,62;14,22
20060326;4,02;18
20060327;0,42;15,71
20060328;0,42;20,63
20060329;0;25,14
20060330;0;22,91
20060331;0,78;20,68
20060401;1,13;20,55
20060402;0;17,24
20060403;0,05;21,66
20060404;0;20,04
20060405;26,61;5,36
20060406;3,28;13,5
20060407;1,7;12,8
20060408;0,37;19,15
20060409;0,62;22,01
20060410;0,07;22,97
20060411;0;22,29
20060412;13,4;18,97
20060413;5,65;14,52
20060414;4,09;13,28
20060415;3,9;15,52
20060416;0,81;13,92
20060417;0,54;20,94
20060418;1,98;18,79
20060419;0,79;13,44
20060420;0,04;21,38
20060421;0,03;23,09
20060422;0;24,27
20060423;0;22,43
20060424;0;21,23
20060425;2,26;19,63
20060426;2,98;14,56
20060427;9,64;14,58
20060428;14,05;14,47
20060429;0,97;19,53
20060430;0,3;19,74
20060501;0,23;16,46
20060502;0,2;14,81
20060503;60,98;7,6
20060504;25,58;20,38
20060505;2,97;12,76
20060506;1,67;14,85
20060507;3,27;8,12
20060508;4,33;16,43
20060509;0,61;17,82
20060510;0,01;21,41
20060511;5,32;16,24
20060512;23,32;21,36
20060513;24,59;22,2
20060514;4,33;19,88
20060515;0,12;18,12
20060516;0,07;21,52
20060517;14,42;17,67
20060518;17,19;19,54
20060519;10,29;21,45
20060520;0,46;25,25
20060521;0;25,98
20060522;0;25,96
20060523;0,03;25,07
20060524;0;21,74
20060525;0;24,97
20060526;0,04;23,19
20060527;0,19;23,46
20060528;0,18;22,48
20060529;0,1;13,77
20060530;0,2;23,75
20060531;0,03;16,78
20060601;0,05;11,78
20060602;1,41;12,84
20060603;0,65;10,44
20060604;0,33;23,91
20060605;0,47;19,7
20060606;0,09;13,22
20060607;4;21,06
20060608;4,7;18,88
20060609;0,94;23,15
20060610;7,7;20,91
20060611;10,85;22,83
20060612;0,39;25,48
20060613;0;24,49
20060614;1,88;17,12
20060615;1,91;23,27
20060616;0,24;23,61
20060617;0;21,49
20060618;0,01;15,4
20060619;0,02;18,8
20060620;1;19,6
20060621;10,26;19,64
20060622;10,79;23,52
20060623;0,88;22,9
20060624;0,05;19,18
20060625;1,91;23,62
20060626;0,68;23,45
20060627;0,29;24,13
20060628;0,23;16,76
20060629;0,12;20,76
20060630;0,1;23,59
20060701;0,03;23,77
20060702;0,04;21,66
20060703;0,3;22,27
20060704;0,89;19,93
20060705;0,31;19,57
20060706;0,25;24,01
20060707;0,22;22,31
20060708;0,03;18,64
20060709;0,11;23,2
20060710;0,26;23,39
20060711;0,29;14,88
20060712;0,1;19,45
20060713;0,08;18,47
20060714;0,03;12,25
20060715;4,63;19,26
20060716;2,72;14,32
20060717;2,85;22,32
20060718;0,09;19,78
20060719;0,15;21,86
20060720;0;23,95
20060721;0;23,6
20060722;0,13;18,82
20060723;0,02;18,19
20060724;0,35;23,99
20060725;0,36;21,69
20060726;0,68;23,01
20060727;0,45;14,91
20060728;4,6;15,06
20060729;20,62;19,5
20060730;17,8;23,83
20060731;6;22,73
20060801;0,13;22,91
20060802;0,04;24,19
20060803;0,02;24,07
20060804;0;25,06
20060805;0,02;23,71
20060806;0,03;23,1
20060807;0,25;23,58
20060808;0,76;24,05
20060809;0,79;21,64
20060810;0,25;22,83
20060811;3,57;20,17
20060812;0,24;20,24
20060813;0;24,41
20060814;0,03;22,63
20060815;0,81;20,45
20060816;3,35;19,23
20060817;2,13;16,31
20060818;2,21;10,55
20060819;6,46;16,09
20060820;4,71;21,97
20060821;0,51;17,51
20060822;0,72;23,35
20060823;0,68;22,89
20060824;0,34;16,52
20060825;11,63;18,19
20060826;22,39;18,28
20060827;7,32;21,38
20060828;0,68;23,29
20060829;0,48;18,36
20060830;0,43;22,92
20060831;0,2;14,55
20060901;4,05;19,29
20060902;0,76;21,68
20060903;0,08;23,74
20060904;0,17;20,65
20060905;0,05;23,06
20060906;0,43;20,63
20060907;0,93;5,77
20060908;0,07;24,3
20060909;0,78;21,51
20060910;1,24;23,53
20060911;0,41;22,73
20060912;0,66;20,82
20060913;5,81;18,32
20060914;9,93;17,76
20060915;4,24;20,1
20060916;0,69;22,9
20060917;0,2;20,34
20060918;0,09;19,9
20060919;26,4;21,25
20060920;37,58;22,59
20060921;1,06;22,61
20060922;5,03;23,4
20060923;0,59;24,32
20060924;0;23,86
20060925;0,83;20,33
20060926;0,89;24,07
20060927;0,11;23,42
20060928;0,06;20,14
20060929;4,55;21,2
20060930;4,13;22,59
20061001;3,29;21,11
20061002;0,54;19,17
20061003;0,75;12,84
20061004;0,06;18,21
20061005;0,37;23,23
20061006;0,04;22,27
20061007;0,02;22,16
20061008;0,06;21,44
20061009;0,11;19,89
20061010;9,82;22,28
20061011;2,54;14,45
20061012;1,31;14,08
20061013;2,59;15,48
20061014;0,98;21,85
20061015;23,1;16,73
20061016;34,36;15,16
20061017;6,33;16,58
20061018;0,88;20,55
20061019;13,18;17,39
20061020;8,05;13,63
20061021;0,64;17,16
20061022;0,86;19,91
20061023;0,24;18,37
20061024;0,07;18,91
20061025;0,01;20,45
20061026;0,08;19,12
20061027;0,08;19,07
20061028;0,03;20,27
20061029;0,04;16,44
20061030;0,02;16,97
20061031;0,06;17,09
20061101;0,01;23,19
20061102;0;22,12
20061103;0,08;21,1
20061104;0,01;21,21
20061105;0,1;20,48
20061106;7,51;16,96
20061107;0,5;20,19
20061108;0,11;20,79
20061109;0,04;20,07
20061110;1,21;17,3
20061111;0,26;18,25
20061112;0,01;17,64
20061113;0,54;14,62
20061114;13,94;14,45
20061115;31,64;9,76
20061116;5,62;15,46
20061117;0,97;17,86
20061118;0,29;12,25
20061119;0,14;16,44
20061120;1,11;16,88
20061121;0,72;16,06
20061122;0,47;16,71
20061123;0,24;19,71
20061124;0,39;14,43
20061125;0,23;17,08
20061126;1,56;17,16
20061127;0,58;12,98
20061128;2,83;12,98
20061129;1,92;13,64
20061130;0,93;19,07
20061201;1,65;19,07
20061202;1,91;18,64
20061203;0,35;17,84
20061204;0,6;21,01
20061205;1,42;14,42
20061206;0,51;16,99
20061207;0,38;16,91
20061208;0,19;18,93
20061209;0,27;18,32
20061210;0,87;18,75
20061211;0,25;18,04
20061212;0,16;16,31
20061213;0,01;19,65
20061214;0,01;20,73
20061215;0;19,33
20061216;2,82;19,58
20061217;0,61;19
20061218;0,01;20,11
20061219;0;19,47
20061220;0,02;16,58
20061221;0,02;16,51
20061222;0,23;18,35
20061223;0,02;18,45
20061224;5,34;19,28
20061225;10,94;19,43
20061226;0,57;19
20061227;0,1;17,57
20061228;0,02;17,92
20061229;0,02;18,7
20061230;0,03;19,3
20061231;0,01;19,21
20070101;0,06;19,78
20070102;0,02;20,49
20070103;0;20,65
20070104;0;19,72
20070105;0,01;19,9
20070106;0,09;20
20070107;0,1;21,88
20070108;0;21,45
20070109;0,61;19,48
20070110;6,24;18
20070111;1,67;18,18
20070112;0,73;17,73
20070113;0,04;16,35
20070114;0,02;20,96
20070115;0;20,5
20070116;0,01;18,96
20070117;0,41;18,65
20070118;0,16;20,15
20070119;0;20,02
20070120;0;21,07
20070121;0;20,49
20070122;0;21,94
20070123;0;22,06
20070124;0;21,39
20070125;0;20,35
20070126;0;19,3
20070127;0;15,88
20070128;0;20,29
20070129;0;21,58
20070130;0;19,75
20070131;0;22,9
20070201;0;23,19
20070202;0;23,73
20070203;0,03;23,3
20070204;0,03;21,78
20070205;0;22,11
20070206;0;23,96
20070207;0,01;23,65
20070208;0;22,72
20070209;0;21,8
20070210;0;22,91
20070211;0;23,06
20070212;0;19,93
20070213;0;22,7
20070214;0;22,29
20070215;0;23,34
20070216;0;23,72
20070217;0,09;23,15
20070218;0;22,1
20070219;0,1;25
20070220;0,42;19,45
20070221;0;25,04
20070222;0;24,22
20070223;0;23,89
20070224;0;21,46
20070225;0,4;17,43
20070226;0,01;23,98
20070227;0;24,73
20070228;0;25,02
20070301;0;24,14
20070302;0;21,19
20070303;0;23,2
20070304;0;24,24
20070305;0;25,24
20070306;0;23,41
20070307;0;21,03
20070308;0;17,58
20070309;0,09;20,69
20070310;0;21,97
20070311;0;24,33
20070312;0,01;26,06
20070313;0,09;24,36
20070314;0;22,1
20070315;0,03;23,96
20070316;0,01;22,63
20070317;0,67;20,82
20070318;1,1;19,95
20070319;0,29;22,02
20070320;0,01;23,82
20070321;0;21,19
20070322;0,01;21,38
20070323;0,12;20,37
20070324;1,26;19,37
20070325;2,06;11,06
20070326;6,33;7,31
20070327;0,22;16,63
20070328;0,34;21,15
20070329;0,26;12,09
20070330;0,01;14,05
20070331;0,05;17,28
20070401;0,44;15,55
20070402;0;18,55
20070403;0;15,61
20070404;0;19,61
20070405;5,1;15,84
20070406;3,34;17,2
20070407;0,54;16,07
20070408;0,19;18,91
20070409;0,01;19,22
20070410;0;20,58
20070411;0;24,89
20070412;0;24,85
20070413;0;24,29
20070414;0;23,87
20070415;0;23,7
20070416;1,12;23,53
20070417;0,71;23,34
20070418;1,2;19,46
20070419;3,47;17,7
20070420;2,6;4,42
20070421;0,92;21,01
20070422;2,09;11,41
20070423;0,24;20,37
20070424;0;15,82
20070425;0,15;20,55
20070426;0,11;17,59
20070427;0;24,26
20070428;0;23,45
20070429;0,25;22,18
20070430;0,1;21,37
20070501;0,85;18,28
20070502;0,9;18,92
20070503;0,53;18,13
20070504;0,26;18,62
20070505;0,1;19,94
20070506;0,09;18,5
20070507;0,46;13,11
20070508;0,3;18,93
20070509;4,75;20,72
20070510;2,09;16,67
20070511;0,01;18,89
20070512;0,03;21,87
20070513;0,81;18,31
20070514;1,94;12,41
20070515;1,77;18,25
20070516;0,17;21,9
20070517;0,05;23,11
20070518;2,23;18,42
20070519;0,68;12,47
20070520;0,14;15,62
20070521;0,33;19,89
20070522;0,57;21,57
20070523;0,09;22,73
20070524;0;20,39
20070525;2,2;11,23
20070526;1,53;10,53
20070527;1,65;22,35
20070528;1,42;21,35
20070529;14,14;17,08
20070530;7,57;20,06
20070531;0,58;19,85
20070601;0,85;22,42
20070602;0,2;18,66
20070603;1,83;19,15
20070604;0,32;24,22
20070605;0,01;24,06
20070606;4,94;24,59
20070607;0,26;21,86
20070608;2,28;21,6
20070609;1,09;12,1
20070610;0,04;18,91
20070611;0;20,93
20070612;0,6;23,85
20070613;0,15;24,99
20070614;0,3;20,79
20070615;0,02;23,17
20070616;0,01;24,02
20070617;0;24,77
20070618;0,43;21,89
20070619;1,38;21,56
20070620;0,18;22,31
20070621;0;23,82
20070622;0;24,46
20070623;0,03;22,91
20070624;0,01;22,85
20070625;0;22,66
20070626;0,85;19,23
20070627;0,09;20,15
20070628;0,09;19,57
20070629;0,24;22,35
20070630;0,01;18,58
20070701;0,2;19,45
20070702;0,17;21,96
20070703;0,02;19,69
20070704;0,02;22,58
20070705;0,05;24,29
20070706;0;21,68
20070707;0,07;20,65
20070708;9,89;18,07
20070709;1,01;22,34
20070710;2,73;18,93
20070711;0,1;23,24
20070712;0,45;19,79
20070713;0,02;23,63
20070714;0,02;24,08
20070715;0;18,24
20070716;0;20,66
20070717;0,01;22,38
20070718;0;22,59
20070719;0,5;23,09
20070720;0,73;16,58
20070721;0,02;19,65
20070722;0;21,07
20070723;2,97;22,42
20070724;0,41;21,83
20070725;0,01;21,32
20070726;4,73;19,03
20070727;0,22;21,22
20070728;11,58;21,86
20070729;17,27;23,39
20070730;17,06;16,96
20070731;0,17;19,92
20070801;0;18,47
20070802;0,44;19,21
20070803;0,11;18,59
20070804;0,51;19,21
20070805;0,27;18,04
20070806;0,07;19,32
20070807;0,02;21,91
20070808;0,47;20,75
20070809;2,08;19,44
20070810;2,25;21,65
20070811;4,69;19,91
20070812;0,85;18,79
20070813;1,84;16,5
20070814;6,5;10,56
20070815;2;20,37
20070816;1,43;22,78
20070817;6,92;19,74
20070818;4,59;19,48
20070819;0,84;17,9
20070820;0,84;19,84
20070821;0,37;20,22
20070822;0,14;22,1
20070823;16,2;19,46
20070824;5,81;22,73
20070825;23,91;15,62
20070826;17,8;6,99
20070827;11,02;22,54
20070828;2,31;23,69
20070829;13,75;22,93
20070830;16,43;20,45
20070831;7,14;21,08
20070901;7,65;20,87
20070902;1,82;15,86
20070903;3,32;22,57
20070904;2;18,61
20070905;1,44;14,18
20070906;0,25;23,6
20070907;0,02;23,94
20070908;0;20,1
20070909;0,05;20,58
20070910;0,01;19,56
20070911;0,17;24,34
20070912;0,26;14,53
20070913;0;21,9
20070914;0,08;22,65
20070915;1,63;20,43
20070916;4,44;12,49
20070917;1,54;21,26
20070918;0,05;24,27
20070919;0,98;18,74
20070920;3,48;17,03
20070921;0,75;25,14
20070922;0,03;23,23
20070923;0,21;19,19
20070924;0,06;18,09
20070925;0,59;20,45
20070926;0,6;17,75
20070927;0,49;22,23
20070928;4,66;22,36
20070929;0,96;21,61
20070930;1,56;21,53
20071001;2,43;14,01
20071002;0,63;13,73
20071003;0,02;21,67
20071004;1,06;22,06
20071005;1,45;23,26
20071006;6,45;21
20071007;9,77;16,23
20071008;1,4;18,85
20071009;1,72;16,61
20071010;1,77;18,53
20071011;4,27;21,64
20071012;3,84;19,16
20071013;2,62;16,9
20071014;0,96;21,17
20071015;0,21;21,34
20071016;0,08;14,72
20071017;2,23;17,73
20071018;1,43;18,92
20071019;1,7;19,92
20071020;1,27;16,5
20071021;1,16;14,92
20071022;25,56;18,7
20071023;2,41;18,54
20071024;3,27;16,38
20071025;6,41;14,13
20071026;1,01;20,42
20071027;5,84;19,08
20071028;3,2;16,34
20071029;9,11;17,22
20071030;10,96;14,39
20071031;4,62;16,48
20071101;1,95;18,48
20071102;0,91;16,04
20071103;3,4;18,8
20071104;6,19;20,83
20071105;0,58;20,63
20071106;0;18,95
20071107;3,04;17,56
20071108;1,69;13,01
20071109;4,01;15,5
20071110;0,94;13,79
20071111;1,22;17,42
20071112;0,1;19,63
20071113;0;20,22
20071114;0,16;17,96
20071115;0,02;19,29
20071116;0;19,69
20071117;0,18;19,84
20071118;0,5;16,28
20071119;0,31;20
20071120;0,41;17,6
20071121;0,21;18,26
20071122;1,98;17,09
20071123;12,32;15,99
20071124;2,73;15,12
20071125;9,14;18,41
20071126;2,69;20,3
20071127;0,11;20,39
20071128;0,12;17,44
20071129;0,03;21,55
20071130;0,04;20,95
20071201;0,5;20,01
20071202;1,36;19,69
20071203;7,42;20,21
20071204;5,33;18,97
20071205;0,01;15,95
20071206;1,49;19,17
20071207;10,44;17,09
20071208;3,36;20,24
20071209;0,14;21
20071210;0;20,43
20071211;0,07;19,93
20071212;0,23;18,85
20071213;4,19;17,54
20071214;1,4;18,22
20071215;1,16;17,7
20071216;3,48;14,88
20071217;1,27;20,3
20071218;0,5;17,84
20071219;8,92;17,11
20071220;2,13;16,91
20071221;0,66;20,44
20071222;4,56;17,53
20071223;4,09;14,63
20071224;0,77;17,33
20071225;0;16,46
20071226;0,04;18,19
20071227;0;15,98
20071228;0,06;20,45
20071229;0,17;20,82
20071230;0,27;20,47
20071231;0,55;22,16
20080101;0,04;21,77
20080102;0;22,32
20080103;0,04;19,46
20080104;2;15,77
20080105;0,72;19,17
20080106;0;18,41
20080107;0;18,46
20080108;0,16;16,94
20080109;0,02;19,06
20080110;0;21,3
20080111;0;17,81
20080112;0,09;18,07
20080113;0,94;18,26
20080114;0,13;18,82
20080115;0,01;19,01
20080116;0,09;20,9
20080117;0,53;21,2
20080118;0,28;21,52
20080119;0,06;20,68
20080120;0;21,73
20080121;0;22,61
20080122;0,03;20,28
20080123;0,07;19,65
20080124;0,01;21,45
20080125;0,04;22,02
20080126;0;22,15
20080127;0,23;22,67
20080128;0,06;23,14
20080129;0,01;22,24
20080130;0;22,56
20080131;22,09;16,58
20080201;0,78;20,05
20080202;0,03;22,05
20080203;0,01;23,31
20080204;0;22,23
20080205;0,28;20,71
20080206;0,03;20,86
20080207;0;18,63
20080208;0;20,27
20080209;0,06;17,85
20080210;0,7;18,21
20080211;1,72;21,96
20080212;0,09;20,08
20080213;1,93;20,13
20080214;0,5;19,34
20080215;0,75;19,15
20080216;0,03;21,58
20080217;0,15;19,08
20080218;1,24;20,26
20080219;0,31;20,58
20080220;7,68;22,74
20080221;3,39;19,32
20080222;0,28;24,06
20080223;0;23,11
20080224;0,51;22,73
20080225;0,41;23,44
20080226;0;24,23
20080227;0,93;23,38
20080228;0,85;22,67
20080229;0,3;25,44
20080301;0,02;22,89
20080302;0;20,63
20080303;0;22,09
20080304;0,18;23,5
20080305;0,68;19,01
20080306;12,06;18,23
20080307;1,07;21,68
20080308;0,8;25,18
20080309;3,91;24,94
20080310;0,9;21,98
20080311;0;23,47
20080312;0;23,46
20080313;0,2;22,19
20080314;2,02;13,76
20080315;0,08;21,67
20080316;0,28;23,24
20080317;0,01;21,97
20080318;0,02;23,6
20080319;0,04;20,59
20080320;0,07;24,18
20080321;0,06;22,04
20080322;0;24,43
20080323;0;23,85
20080324;0,08;21,81
20080325;0,12;20,79
20080326;0,01;20,79
20080327;0;23,19
20080328;0;22,92
20080329;0;22,64
20080330;0,04;23,81
20080331;0;22,06
20080401;1,07;19,81
20080402;1,07;24,8
20080403;0,27;24,59
20080404;0,04;20,84
20080405;2,18;20,93
20080406;0,3;23,01
20080407;0;23,96
20080408;0;23,45
20080409;0;23,01
20080410;0,02;22,1
20080411;0;21,39
20080412;0,01;24,92
20080413;0,09;22,41
20080414;0,12;19,2
20080415;1,07;18,33
20080416;0,03;25,04
20080417;0,15;24,88
20080418;0,2;22,86
20080419;0;23,96
20080420;0;22,65
20080421;0,35;24,98
20080422;0,1;21,81
20080423;1,04;19,17
20080424;7,82;11,05
20080425;1,35;16,12
20080426;2,33;15,44
20080427;20,2;15,02
20080428;25,02;10,02
20080429;1,51;20,24
20080430;0,12;19,33
20080501;0;17,14
20080502;0,35;16,36
20080503;1,27;18,06
20080504;1,75;17,46
20080505;0,1;16,94
20080506;0,44;15,23
20080507;0,14;21,53
20080508;0,51;17,01
20080509;0,01;18,18
20080510;0;23,71
20080511;0;21,28
20080512;0,16;22,61
20080513;0;21,87
20080514;0;23,7
20080515;3,17;22,05
20080516;1,47;18,91
20080517;0,08;20,99
20080518;1,89;13,9
20080519;0,13;17,81
20080520;3,05;16,45
20080521;2,05;16,31
20080522;0,16;24,23
20080523;0,14;22,27
20080524;0,72;16,74
20080525;3,43;15,43
20080526;3,27;18,12
20080527;0,94;16,31
20080528;0,14;6,37
20080529;0,06;20,1
20080530;0,18;23,93
20080531;0,12;22,29
20080601;6,19;21,23
20080602;3,05;17,05
20080603;0,04;18,02
20080604;2,42;21,14
20080605;0,07;15,67
20080606;0,02;23,2
20080607;0;21,93
20080608;0,82;15,65
20080609;0,21;18,21
20080610;0,05;16,5
20080611;0,01;23,14
20080612;0,04;23,5
20080613;0,05;23,46
20080614;0,18;18,19
20080615;35,78;9
20080616;4,84;22,74
20080617;0,03;23,85
20080618;0,07;22,9
20080619;0;22,88
20080620;17,98;22,95
20080621;13,32;18,09
20080622;0,52;12,29
20080623;3,64;18,38
20080624;9,39;20,7
20080625;6;17,46
20080626;4,91;20,53
20080627;0,23;19,07
20080628;1,64;16,79
20080629;0,09;19,78
20080630;0,02;18,09
20080701;12,67;21,57
20080702;2,25;18,79
20080703;0,94;16,53
20080704;0,1;21,5
20080705;0,24;22,1
20080706;0,75;22,93
20080707;0,12;21,15
20080708;0,15;20,81
20080709;0,58;20,66
20080710;2,31;16,49
20080711;1,74;21,25
20080712;0,56;23,44
20080713;0,47;24,46
20080714;11,54;22,63
20080715;6,04;18,17
20080716;1,57;19,76
20080717;6,07;18,63
20080718;1,16;14,92
20080719;0,33;24,02
20080720;0,2;23,87
20080721;0,13;19,77
20080722;0;22,24
20080723;0;16,49
20080724;0,05;22,61
20080725;0,1;22,71
20080726;0,25;20,89
20080727;0,1;24,02
20080728;0,53;18,68
20080729;0,01;21,55
20080730;1,32;25,24
20080731;0,22;22,94
20080801;0,61;23,92
20080802;3,54;20,16
20080803;3,07;20,4
20080804;0,18;23,51
20080805;1,21;24,84
20080806;1,16;15,21
20080807;0,03;23,04
20080808;0,07;23,56
20080809;0,59;18,68
20080810;0,74;21,13
20080811;2,57;13,48
20080812;2,42;21,8
20080813;0,28;18,17
20080814;0,02;21,02
20080815;1,38;16,44
20080816;11,4;23,59
20080817;7,52;22,76
20080818;0,39;25,67
20080819;3;20,92
20080820;13,78;19,73
20080821;3,19;19,97
20080822;1,06;15,34
20080823;1,87;22,09
20080824;1,25;17,33
20080825;0,1;21,36
20080826;0,56;19,55
20080827;2,96;21,24
20080828;2,92;21,2
20080829;0,95;16,56
20080830;2,91;23,5
20080831;7,22;23,93
20080901;25,79;22,41
20080902;11,25;18,15
20080903;23,6;14,41
20080904;16,69;8,45
20080905;0,74;24,1
20080906;0,61;25,02
20080907;0,76;24,25
20080908;2,94;21,03
20080909;0,25;22,97
20080910;0,05;25,13
20080911;0;25,46
20080912;0;18,98
20080913;0,12;22,3
20080914;0;21,27
20080915;0;20,79
20080916;0,09;20,25
20080917;1,27;8,02
20080918;26,7;17,01
20080919;6,52;21,81
20080920;28,11;17,1
20080921;28,45;21,28
20080922;9,83;22,04
20080923;14,08;16,7
20080924;10,03;18,9
20080925;0,72;22,55
20080926;1,69;19,13
20080927;2,49;22,71
20080928;1,5;17,78
20080929;1,11;16,56
20080930;25,37;22,21
20081001;7,61;16,8
20081002;0,14;18,75
20081003;2,84;17,81
20081004;4,26;21,15
20081005;22,4;20,26
20081006;9,51;16,91
20081007;2,66;17,75
20081008;0,77;19,55
20081009;0,7;19,29
20081010;2,85;13,95
20081011;3,8;17,91
20081012;6,47;19,81
20081013;4,32;19,66
20081014;3,36;12,65
20081015;8,89;15,73
20081016;14,08;20,18
20081017;2,22;19,94
20081018;0,28;20,1
20081019;2,94;20,24
20081020;1,36;18,03
20081021;0,06;19,67
20081022;1,97;20,58
20081023;0,61;21,47
20081024;3,71;21,46
20081025;33,42;16,74
20081026;5,7;21,34
20081027;5,48;17,75
20081028;4,49;19,52
20081029;0,36;19,36
20081030;1,55;20,32
20081031;0,99;18,35
20081101;0,75;16,59
20081102;2,47;16,92
20081103;0,7;18,54
20081104;0,02;18,31
20081105;1,13;17,29
20081106;0,89;20,4
20081107;0,17;20,69
20081108;0,28;18,86
20081109;0,74;19,84
20081110;0,49;20,31
20081111;1,22;19,89
20081112;1,27;20,09
20081113;15,64;19,61
20081114;6,4;19,92
20081115;1,41;18,52
20081116;9,48;15,99
20081117;8,95;16,13
20081118;2,92;17,29
20081119;3,76;14,76
20081120;2,48;14,17
20081121;0,68;12,81
20081122;1,16;13,77
20081123;0,37;13,43
20081124;1,24;17,35
20081125;1,17;12,91
20081126;27,2;8,54
20081127;9,9;11,59
20081128;1,02;15,99
20081129;15,6;18,52
20081130;4,26;17,17
20081201;0,68;14,31
20081202;4,05;18,69
20081203;1,33;16,58
20081204;0,24;19,38
20081205;0,07;20,04
20081206;0,02;18,44
20081207;0,26;15,82
20081208;4,82;15,91
20081209;0,35;17,61
20081210;0,13;19,15
20081211;0,3;19,29
20081212;0,05;20,71
20081213;0,01;21,49
20081214;0,14;18,95
20081215;1,59;19,17
20081216;1,67;20,31
20081217;0,72;20,23
20081218;3,48;12,41
20081219;0,45;15,97
20081220;2,19;17,99
20081221;0,1;20,92
20081222;0;18,03
20081223;0,35;16,24
20081224;0,24;18,44
20081225;1,67;14,05
20081226;0,64;21,59
20081227;1,36;17,54
20081228;0,71;18,21
20081229;0,49;20,74
20081230;0,03;15,16
20081231;0,04;17,4
20090101;0,27;17,84
20090102;0,03;17,71
20090103;0,54;17,36
20090104;3,9;19,55
20090105;5,06;18,31
20090106;0,58;17,38
20090107;0;16,82
20090108;0;19,94
20090109;0,08;16,95
20090110;0,02;21,79
20090111;0;17,67
20090112;0;21,56
20090113;0;21,95
20090114;0,15;22,46
20090115;0,17;21,5
20090116;0,45;20,79
20090117;0,27;19,85
20090118;8,06;18,25
20090119;3,88;17,6
20090120;0,06;13,66
20090121;13,39;15
20090122;1,76;17,77
20090123;0,62;20,18
20090124;0,14;22,19
20090125;1,87;21,76
20090126;0,26;21,69
20090127;1,72;18,49
20090128;0,04;22,31
20090129;0,17;21,18
20090130;0,25;19,33
20090131;13,45;13,25
20090201;1,29;15,71
20090202;0,1;18,37
20090203;0,03;20,52
20090204;0,01;17,64
20090205;2,01;20,77
20090206;0,79;24,13
20090207;1,43;21,73
20090208;0,68;17,57
20090209;0,02;18,54
20090210;1,02;16,91
20090211;0,61;15,28
20090212;0,1;21,11
20090213;1,2;20,02
20090214;0,25;20,88
20090215;0,05;22,95
20090216;0,72;20,75
20090217;14,92;19,44
20090218;0,69;14,33
20090219;0,07;22,01
20090220;0,09;22,08
20090221;0,13;21,41
20090222;0,01;23,57
20090223;0;22,39
20090224;0;16,71
20090225;0,13;17,13
20090226;0,08;23,55
20090227;0,52;20,94
20090228;0,04;19,49
20090301;0,08;17,65
20090302;0,98;16,73
20090303;1,12;15,67
20090304;2,45;11,27
20090305;0,12;18,81
20090306;1,27;19,54
20090307;1,43;17,43
20090308;0,08;19,04
20090309;0,04;20,46
20090310;0,08;16,37
20090311;0,35;17,67
20090312;0,13;16,88
20090313;0,72;19,89
20090314;0,05;20,75
20090315;0;20,43
20090316;0,24;17,65
20090317;0,16;15,04
20090318;0,12;21,34
20090319;0,11;18,86
20090320;0,33;19,55
20090321;0,05;16,62
20090322;8,92;12,11
20090323;0,6;16,94
20090324;0,01;14,92
20090325;0,04;16,66
20090326;0,01;19,39
20090327;0;19,55
20090328;0,04;19,58
20090329;0;18,17
20090330;0,04;20,62
20090331;0,51;24,99
20090401;0,43;22,4
20090402;0,06;25,99
20090403;0,29;26,1
20090404;0,01;26,88
20090405;0;25,92
20090406;0;24,31
20090407;0;22,2
20090408;0,08;21,59
20090409;0,08;21,33
20090410;0,13;16,59
20090411;0,01;22,62
20090412;0,18;24,39
20090413;0;23,8
20090414;0;25,74
20090415;0;24,54
20090416;0,01;22,87
20090417;0,06;19,79
20090418;0,05;18,59
20090419;0,52;19,61
20090420;0,57;17,1
20090421;0;16,7
20090422;0,07;20,25
20090423;6,09;20,5
